,Importance
scc,0.5595512104273174
dcl,0.049238011552720506
prm,0.02565025252887041
ccr,0.025210060535057685
l,0.021250319231560576
cv,0.02117785898049659
cml,0.019431847236852963
n2,0.017215966467916427
dm,0.01616269806469234
n,0.013050891675569817
sc,0.012910528481878352
es,0.012759190392424347
f,0.012689498773684351
iv,0.01261074571395665
bl,0.012571893646392123
eu,0.012171942436751968
cl,0.01119887936605324
cm,0.011185747503998016
mcc,0.011098250180677623
acm,0.010918016169716412
pum,0.010456479931331395
ecl,0.010138680022976652
s,0.009783164668150653
im,0.009762362436038969
n1,0.009556212419424061
m,0.008864852139225424
ds,0.008764416188554338
pvm,0.008625563996173922
acc,0.0067745478089348355
al,0.006683482236611753
acl,0.006097889062609186
abl,0.005797447672111212
cs,0.005774887192962407
mn,0.004866204858307362
